pair_index,N,I_ext,g_syn,p,realizations,mean_firing_rate,std_firing_rate
0,250,0.95,0.1,0.0,100,0.0005025125628140705,1.0896641827341228e-19
0,250,0.95,0.1,0.05,100,0.01644030150753769,0.01342025633996606
0,250,0.95,0.1,0.1,100,0.0110355175879397,0.014274960607382736
0,250,0.95,0.1,0.15000000000000002,100,0.002306311557788945,0.007192751184268325
0,250,0.95,0.1,0.2,100,0.0007996783919597991,0.0029712522341573053
0,250,0.95,0.1,0.25,100,0.00080956783919598,0.0030683195194820653
0,250,0.95,0.1,0.30000000000000004,100,0.0005025527638190956,2.8282471183173657e-07
0,250,0.95,0.1,0.35000000000000003,100,0.0005025125628140705,1.0896641827341228e-19
0,250,0.95,0.1,0.4,100,0.0005025326633165831,2.0100502512562703e-07
0,250,0.95,0.1,0.45,100,0.0005025929648241208,3.958721317928267e-07
0,250,0.95,0.1,0.5,100,0.0005025326633165831,2.0100502512562703e-07
0,250,0.95,0.1,0.55,100,0.0005025125628140705,1.0896641827341228e-19
0,250,0.95,0.1,0.6000000000000001,100,0.0005025527638190956,2.828247118317366e-07
0,250,0.95,0.1,0.65,100,0.0005025728643216082,4.4764121277108036e-07
0,250,0.95,0.1,0.7000000000000001,100,0.0005025125628140705,1.0896641827341228e-19
0,250,0.95,0.1,0.75,100,0.0005025125628140705,1.0896641827341228e-19
0,250,0.95,0.1,0.8,100,0.0005025125628140705,1.0896641827341228e-19
0,250,0.95,0.1,0.8500000000000001,100,0.0005025527638190956,2.828247118317366e-07
0,250,0.95,0.1,0.9,100,0.0005025728643216082,3.4461629748294334e-07
0,250,0.95,0.1,0.9500000000000001,100,0.0005025527638190956,2.828247118317366e-07
0,250,0.95,0.1,1.0,100,0.0005025728643216082,3.4461629748294334e-07
1,250,0.85,0.2,0.0,100,0.0005025125628140705,1.0896641827341228e-19
1,250,0.85,0.2,0.05,100,0.021510552763819097,0.01325749407773037
1,250,0.85,0.2,0.1,100,0.012347517587939696,0.015738438249783125
1,250,0.85,0.2,0.15000000000000002,100,0.007065587939698494,0.01367091232960871
1,250,0.85,0.2,0.2,100,0.0019081608040201013,0.006948245257933501
1,250,0.85,0.2,0.25,100,0.0012330854271356787,0.0051323250513177505
1,250,0.85,0.2,0.30000000000000004,100,0.0005045025125628141,2.449250540550815e-06
1,250,0.85,0.2,0.35000000000000003,100,0.0008686030150753771,0.0036399933015865936
1,250,0.85,0.2,0.4,100,0.0005055879396984926,3.122529009051406e-06
