N,p,seed,number_of_shortcuts,total_spikes,last_spike_time,activity_duration,reached_tmax,censored,runtime_seconds
200,0.1,200043,20,202,43.0,33.0,False,False,7.60809460002929
200,0.1,200044,20,200,40.0,30.0,False,False,8.06039460003376
200,0.1,200045,20,200,36.0,26.0,False,False,7.524800800019875
200,0.1,200046,20,200,52.0,42.0,False,False,7.470656199962832
200,0.1,200047,20,200,43.0,33.0,False,False,7.351481199963018
200,0.1,200048,20,200,36.0,26.0,False,False,7.414179400075227
200,0.1,200049,20,18081,3000.0,2990.0,True,True,8.85458310006652
250,0.1,250000,25,250,37.0,27.0,False,False,9.17995419993531
250,0.1,250001,25,250,49.0,39.0,False,False,7.698669399949722
250,0.1,250002,25,25723,3000.0,2990.0,True,True,8.613386799930595
250,0.1,250003,25,251,40.0,30.0,False,False,8.388764100032859
250,0.1,250004,25,250,39.0,29.0,False,False,8.655058400006965
250,0.1,250005,25,250,44.0,34.0,False,False,7.588468399946578
250,0.1,250006,25,26542,3000.0,2990.0,True,True,8.520930900005624
250,0.1,250007,25,25417,3000.0,2990.0,True,True,9.185004799976014
250,0.1,250008,25,29020,3000.0,2990.0,True,True,7.729629799956456
250,0.1,250009,25,250,49.0,39.0,False,False,7.428293399978429
250,0.1,250010,25,250,46.0,36.0,False,False,7.373894499964081
250,0.1,250011,25,22619,3000.0,2990.0,True,True,7.986611200030893
250,0.1,250012,25,24727,3000.0,2990.0,True,True,7.650596299907193
250,0.1,250013,25,25295,3000.0,2990.0,True,True,7.465658499975689
250,0.1,250014,25,250,37.0,27.0,False,False,7.28178379999008
250,0.1,250015,25,250,45.0,35.0,False,False,7.678876199992374
250,0.1,250016,25,19244,3000.0,2990.0,True,True,8.007047699997202
250,0.1,250017,25,250,44.0,34.0,False,False,7.514513299916871
250,0.1,250018,25,29533,3000.0,2990.0,True,True,8.204144999966957
250,0.1,250019,25,250,39.0,29.0,False,False,7.4984474999364465
250,0.1,250020,25,250,41.0,31.0,False,False,7.485999099910259
250,0.1,250021,25,250,41.0,31.0,False,False,7.554468199959956
250,0.1,250022,25,24957,3000.0,2990.0,True,True,9.018860200070776
250,0.1,250023,25,250,46.0,36.0,False,False,8.523794500040822
250,0.1,250024,25,250,47.0,37.0,False,False,8.024631900014356
250,0.1,250025,25,250,36.0,26.0,False,False,8.289983100024983
250,0.1,250026,25,250,51.0,41.0,False,False,7.936834100051783
250,0.1,250027,25,25686,3000.0,2990.0,True,True,8.540735899936408
250,0.1,250028,25,27576,3000.0,2990.0,True,True,7.92483859998174
250,0.1,250029,25,26618,3000.0,2990.0,True,True,7.783314200001769
250,0.1,250030,25,26668,3000.0,2990.0,True,True,7.58376509998925
250,0.1,250031,25,250,49.0,39.0,False,False,7.564923199941404
250,0.1,250032,25,24872,3000.0,2990.0,True,True,7.917655500001274
250,0.1,250033,25,250,41.0,31.0,False,False,7.883940999978222
250,0.1,250034,25,22574,3000.0,2990.0,True,True,8.026251900009811
250,0.1,250035,25,250,51.0,41.0,False,False,7.984944100026041
250,0.1,250036,25,21286,3000.0,2990.0,True,True,7.930319299921393
250,0.1,250037,25,20626,3000.0,2990.0,True,True,7.536053100018762
250,0.1,250038,25,250,44.0,34.0,False,False,7.377592000062577
250,0.1,250039,25,26273,3000.0,2990.0,True,True,8.411924199899659
250,0.1,250040,25,250,56.0,46.0,False,False,7.546676900004968
250,0.1,250041,25,252,47.0,37.0,False,False,7.37699550006073
250,0.1,250042,25,250,64.0,54.0,False,False,7.71048939996399
250,0.1,250043,25,250,42.0,32.0,False,False,7.499090500059538
250,0.1,250044,25,250,41.0,31.0,False,False,7.308436700026505
250,0.1,250045,25,28799,3000.0,2990.0,True,True,7.560828400077298
250,0.1,250046,25,18731,3000.0,2990.0,True,True,7.344530800008215
250,0.1,250047,25,250,41.0,31.0,False,False,7.411119100055657
250,0.1,250048,25,22000,3000.0,2990.0,True,True,7.453974700067192
250,0.1,250049,25,250,40.0,30.0,False,False,7.498503200011328
500,0.1,500000,50,51162,3000.0,2990.0,True,True,8.77800179994665
500,0.1,500001,50,45314,3000.0,2990.0,True,True,8.845040300046094
500,0.1,500002,50,55155,3000.0,2990.0,True,True,7.720032399985939
500,0.1,500003,50,46545,3000.0,2990.0,True,True,8.715873199980706
500,0.1,500004,50,46659,3000.0,2990.0,True,True,8.4085136000067
500,0.1,500005,50,53009,3000.0,2990.0,True,True,8.001102500013076
500,0.1,500006,50,46677,3000.0,2990.0,True,True,8.067987599992193
500,0.1,500007,50,57917,3000.0,2990.0,True,True,7.753199800034054
500,0.1,500008,50,52887,3000.0,2990.0,True,True,8.83903510007076
500,0.1,500009,50,48020,3000.0,2990.0,True,True,8.0142033000011
500,0.1,500010,50,57874,3000.0,2990.0,True,True,7.7300464999862015
500,0.1,500011,50,44407,3000.0,2990.0,True,True,7.564954499946907
500,0.1,500012,50,47041,3000.0,2990.0,True,True,7.69907139998395
500,0.1,500013,50,51121,3000.0,2990.0,True,True,7.661351999966428
500,0.1,500014,50,53247,3000.0,2990.0,True,True,7.718650799943134
500,0.1,500015,50,48131,3000.0,2990.0,True,True,8.15820750000421
500,0.1,500016,50,54945,3000.0,2990.0,True,True,8.33680600009393
500,0.1,500017,50,500,45.0,35.0,False,False,7.691875400021672
500,0.1,500018,50,500,58.0,48.0,False,False,7.545880399993621
500,0.1,500019,50,41390,3000.0,2990.0,True,True,8.853898199973628
500,0.1,500020,50,54932,3000.0,2990.0,True,True,8.439483599970117
500,0.1,500021,50,57152,3000.0,2990.0,True,True,8.563375700032339
500,0.1,500022,50,40313,3000.0,2990.0,True,True,8.455725900013931
500,0.1,500023,50,501,51.0,41.0,False,False,9.302604200085625
500,0.1,500024,50,501,49.0,39.0,False,False,9.41005209996365
500,0.1,500025,50,500,57.0,47.0,False,False,8.875422400073148
500,0.1,500026,50,43918,3000.0,2990.0,True,True,10.2027963999426
500,0.1,500027,50,48112,3000.0,2990.0,True,True,8.230624700081535
500,0.1,500028,50,500,43.0,33.0,False,False,7.957940199994482
500,0.1,500029,50,53009,3000.0,2990.0,True,True,8.220034199999645
500,0.1,500030,50,45236,3000.0,2990.0,True,True,9.352894800016657
500,0.1,500031,50,58276,3000.0,2990.0,True,True,8.17483480006922
500,0.1,500032,50,500,48.0,38.0,False,False,8.877109699998982
500,0.1,500033,50,43892,3000.0,2990.0,True,True,7.872176800039597
500,0.1,500034,50,501,52.0,42.0,False,False,7.562171200057492
500,0.1,500035,50,501,53.0,43.0,False,False,9.01001319999341
500,0.1,500036,50,500,51.0,41.0,False,False,7.935940700001083
500,0.1,500037,50,43824,3000.0,2990.0,True,True,7.980964199989103
500,0.1,500038,50,51441,3000.0,2990.0,True,True,7.965883999946527
500,0.1,500039,50,501,54.0,44.0,False,False,7.804990600096062
500,0.1,500040,50,55313,3000.0,2990.0,True,True,8.379015199956484
500,0.1,500041,50,500,41.0,31.0,False,False,7.698497800040059
500,0.1,500042,50,53070,3000.0,2990.0,True,True,9.901873900089413
500,0.1,500043,50,49593,3000.0,2990.0,True,True,8.47755200008396
500,0.1,500044,50,52917,3000.0,2990.0,True,True,8.044483099947684
500,0.1,500045,50,51386,3000.0,2990.0,True,True,8.106133900000714
500,0.1,500046,50,501,43.0,33.0,False,False,7.602970500010997
500,0.1,500047,50,41188,3000.0,2990.0,True,True,10.360521099995822
500,0.1,500048,50,45271,3000.0,2990.0,True,True,8.472861399990506
500,0.1,500049,50,55014,3000.0,2990.0,True,True,8.26476469996851
1000,0.1,1000000,100,84000,3000.0,2990.0,True,True,10.135017300024629
1000,0.1,1000001,100,101271,3000.0,2990.0,True,True,9.998986500082538
1000,0.1,1000002,100,97983,3000.0,2990.0,True,True,13.503376899985597
1000,0.1,1000003,100,93402,3000.0,2990.0,True,True,9.744778499938548
1000,0.1,1000004,100,95604,3000.0,2990.0,True,True,10.308206400019117
1000,0.1,1000005,100,92411,3000.0,2990.0,True,True,13.116635599988513
1000,0.1,1000006,100,99142,3000.0,2990.0,True,True,11.974237299989909
1000,0.1,1000007,100,97172,3000.0,2990.0,True,True,11.093088899971917
1000,0.1,1000008,100,105288,3000.0,2990.0,True,True,10.810956100001931
1000,0.1,1000009,100,109739,3000.0,2990.0,True,True,10.863335200003348
1000,0.1,1000010,100,96181,3000.0,2990.0,True,True,11.858729899977334
1000,0.1,1000011,100,105842,3000.0,2990.0,True,True,10.209061099914834
1000,0.1,1000012,100,95968,3000.0,2990.0,True,True,10.562425100011751
1000,0.1,1000013,100,117161,3000.0,2990.0,True,True,9.824080300051719
1000,0.1,1000014,100,105909,3000.0,2990.0,True,True,10.338189600035548
1000,0.1,1000015,100,107756,3000.0,2990.0,True,True,10.127906100009568
1000,0.1,1000016,100,101707,3000.0,2990.0,True,True,9.746866900008172
1000,0.1,1000017,100,97389,3000.0,2990.0,True,True,10.492963499971665
1000,0.1,1000018,100,102919,3000.0,2990.0,True,True,9.304971599951386
1000,0.1,1000019,100,109192,3000.0,2990.0,True,True,10.125703500001691
1000,0.1,1000020,100,93069,3000.0,2990.0,True,True,10.27354669990018
1000,0.1,1000021,100,90296,3000.0,2990.0,True,True,10.04508780001197
1000,0.1,1000022,100,101914,3000.0,2990.0,True,True,9.603456200100482
1000,0.1,1000023,100,104678,3000.0,2990.0,True,True,9.147316699963994
1000,0.1,1000024,100,113197,3000.0,2990.0,True,True,9.588329100050032
1000,0.1,1000025,100,105342,3000.0,2990.0,True,True,9.610886599984951
1000,0.1,1000026,100,105424,3000.0,2990.0,True,True,10.059451900073327
1000,0.1,1000027,100,96018,3000.0,2990.0,True,True,9.331823199987411
1000,0.1,1000028,100,114477,3000.0,2990.0,True,True,9.267794500105083
1000,0.1,1000029,100,98544,3000.0,2990.0,True,True,9.60617819998879
1000,0.1,1000030,100,103411,3000.0,2990.0,True,True,9.503295300062746
1000,0.1,1000031,100,110230,3000.0,2990.0,True,True,9.633613799931481
1000,0.1,1000032,100,106183,3000.0,2990.0,True,True,9.33391919999849
1000,0.1,1000033,100,117503,3000.0,2990.0,True,True,9.698880100040697
1000,0.1,1000034,100,90170,3000.0,2990.0,True,True,9.053158800001256
1000,0.1,1000035,100,93159,3000.0,2990.0,True,True,9.129671099944972
1000,0.1,1000036,100,102689,3000.0,2990.0,True,True,9.273690900066867
1000,0.1,1000037,100,118025,3000.0,2990.0,True,True,9.616527599981055
1000,0.1,1000038,100,101037,3000.0,2990.0,True,True,9.218222800060175
1000,0.1,1000039,100,110220,3000.0,2990.0,True,True,9.611121500027366
1000,0.1,1000040,100,106050,3000.0,2990.0,True,True,9.950102100032382
1000,0.1,1000041,100,76848,3000.0,2990.0,True,True,9.424249699921347
1000,0.1,1000042,100,117066,3000.0,2990.0,True,True,9.419044099980965
1000,0.1,1000043,100,98011,3000.0,2990.0,True,True,9.097151399939321
1000,0.1,1000044,100,104094,3000.0,2990.0,True,True,9.577107200049795
1000,0.1,1000045,100,117467,3000.0,2990.0,True,True,9.652832899941131
1000,0.1,1000046,100,102302,3000.0,2990.0,True,True,9.5071891999105
1000,0.1,1000047,100,114179,3000.0,2990.0,True,True,9.366098799975589
1000,0.1,1000048,100,99177,3000.0,2990.0,True,True,11.405225399998017
1000,0.1,1000049,100,105720,3000.0,2990.0,True,True,11.365468499949202
2000,0.1,2000000,200,197803,3000.0,2990.0,True,True,11.531261299969628
2000,0.1,2000001,200,218732,3000.0,2990.0,True,True,14.80018610006664
2000,0.1,2000002,200,213509,3000.0,2990.0,True,True,14.11219490005169
2000,0.1,2000003,200,218956,3000.0,2990.0,True,True,14.258876499952748
2000,0.1,2000004,200,228766,3000.0,2990.0,True,True,13.580206000013277
2000,0.1,2000005,200,219455,3000.0,2990.0,True,True,14.74590530002024
2000,0.1,2000006,200,210624,3000.0,2990.0,True,True,13.980776199954562
2000,0.1,2000007,200,224169,3000.0,2990.0,True,True,14.55175780004356
2000,0.1,2000008,200,213951,3000.0,2990.0,True,True,13.582830099971034
2000,0.1,2000009,200,180149,3000.0,2990.0,True,True,12.709278299938887
2000,0.1,2000010,200,226094,3000.0,2990.0,True,True,14.955349799944088
2000,0.1,2000011,200,235019,3000.0,2990.0,True,True,14.022904100012966
2000,0.1,2000012,200,216908,3000.0,2990.0,True,True,13.61141409992706
2000,0.1,2000013,200,219952,3000.0,2990.0,True,True,12.601633099955507
2000,0.1,2000014,200,194780,3000.0,2990.0,True,True,13.47789959993679
2000,0.1,2000015,200,223991,3000.0,2990.0,True,True,14.273583300062455
2000,0.1,2000016,200,199230,3000.0,2990.0,True,True,12.90410939999856
2000,0.1,2000017,200,204447,3000.0,2990.0,True,True,12.726798999938183
2000,0.1,2000018,200,223191,3000.0,2990.0,True,True,12.879662099992856
2000,0.1,2000019,200,198189,3000.0,2990.0,True,True,12.32547689997591
2000,0.1,2000020,200,194740,3000.0,2990.0,True,True,12.774316600058228
2000,0.1,2000021,200,198301,3000.0,2990.0,True,True,13.157069199951366
2000,0.1,2000022,200,226388,3000.0,2990.0,True,True,13.217583000077866
2000,0.1,2000023,200,213882,3000.0,2990.0,True,True,13.383322300040163
2000,0.1,2000024,200,218983,3000.0,2990.0,True,True,13.38354429998435
2000,0.1,2000025,200,191943,3000.0,2990.0,True,True,12.78894819994457
2000,0.1,2000026,200,227859,3000.0,2990.0,True,True,12.271990200039
2000,0.1,2000027,200,210890,3000.0,2990.0,True,True,13.05285819992423
2000,0.1,2000028,200,149621,3000.0,2990.0,True,True,13.40444039995782
2000,0.1,2000029,200,185024,3000.0,2990.0,True,True,13.542851499980316
2000,0.1,2000030,200,208092,3000.0,2990.0,True,True,14.473208799958229
2000,0.1,2000031,200,186380,3000.0,2990.0,True,True,12.542877500061877
2000,0.1,2000032,200,234979,3000.0,2990.0,True,True,14.916209899936803
2000,0.1,2000033,200,209796,3000.0,2990.0,True,True,12.493907200056128
2000,0.1,2000034,200,218664,3000.0,2990.0,True,True,12.861929800012149
2000,0.1,2000035,200,192048,3000.0,2990.0,True,True,15.43825490004383
2000,0.1,2000036,200,191696,3000.0,2990.0,True,True,12.502644799998961
2000,0.1,2000037,200,197222,3000.0,2990.0,True,True,13.822346700006165
2000,0.1,2000038,200,194530,3000.0,2990.0,True,True,12.404559400049038
2000,0.1,2000039,200,223081,3000.0,2990.0,True,True,13.505802100058645
2000,0.1,2000040,200,198222,3000.0,2990.0,True,True,12.324188099941239
2000,0.1,2000041,200,191810,3000.0,2990.0,True,True,14.723844500025734
2000,0.1,2000042,200,204826,3000.0,2990.0,True,True,13.135913400095887
2000,0.1,2000043,200,227915,3000.0,2990.0,True,True,12.917003799928352
2000,0.1,2000044,200,191817,3000.0,2990.0,True,True,12.603553500026464
2000,0.1,2000045,200,211411,3000.0,2990.0,True,True,11.786823899950832
2000,0.1,2000046,200,215079,3000.0,2990.0,True,True,11.173940500011668
2000,0.1,2000047,200,186197,3000.0,2990.0,True,True,11.535720200045034
2000,0.1,2000048,200,207959,3000.0,2990.0,True,True,11.161047799978405
2000,0.1,2000049,200,235513,3000.0,2990.0,True,True,10.630376199958846
