N,p,seed,number_of_shortcuts,status,total_spikes,last_spike_time,late_spikes,runtime_seconds
250,0.0,60,0,FAILURE,250,135.0,0,7.079067799961194
250,0.0,61,0,FAILURE,250,135.0,0,7.066880999947898
250,0.0,59,0,FAILURE,250,135.0,0,7.217194800032303
250,0.0,58,0,FAILURE,250,135.0,0,7.357476699980907
250,0.0,65,0,FAILURE,250,135.0,0,6.69252340006642
250,0.0,63,0,FAILURE,250,135.0,0,7.42220669996459
250,0.0,64,0,FAILURE,250,135.0,0,7.390998299932107
250,0.0,66,0,FAILURE,250,135.0,0,6.671690600109287
250,0.0,71,0,FAILURE,250,135.0,0,6.323885900084861
250,0.0,67,0,FAILURE,250,135.0,0,6.956698799971491
250,0.0,68,0,FAILURE,250,135.0,0,6.811043899971992
250,0.0,70,0,FAILURE,250,135.0,0,6.544332699966617
250,0.0,69,0,FAILURE,250,135.0,0,6.839672000030987
250,0.0,73,0,FAILURE,250,135.0,0,6.484965999959968
250,0.0,72,0,FAILURE,250,135.0,0,6.683824799954891
250,0.0,74,0,FAILURE,250,135.0,0,6.882055100053549
250,0.0,75,0,FAILURE,250,135.0,0,7.070104299928062
250,0.0,76,0,FAILURE,250,135.0,0,7.0207128000911325
250,0.0,77,0,FAILURE,250,135.0,0,6.719963800045662
250,0.0,78,0,FAILURE,250,135.0,0,6.672434200067073
250,0.0,83,0,FAILURE,250,135.0,0,6.452188599971123
250,0.0,80,0,FAILURE,250,135.0,0,6.599824400036596
250,0.0,84,0,FAILURE,250,135.0,0,6.497614499996416
250,0.0,81,0,FAILURE,250,135.0,0,6.7933706000912935
250,0.0,79,0,FAILURE,250,135.0,0,6.930223500006832
250,0.0,82,0,FAILURE,250,135.0,0,6.939989700098522
250,0.0,85,0,FAILURE,250,135.0,0,6.537718900013715
250,0.0,86,0,FAILURE,250,135.0,0,6.745770499925129
250,0.0,87,0,FAILURE,250,135.0,0,6.907425599987619
250,0.0,88,0,FAILURE,250,135.0,0,6.961118899984285
250,0.0,91,0,FAILURE,250,135.0,0,6.712449199985713
250,0.0,90,0,FAILURE,250,135.0,0,6.943832400022075
250,0.0,89,0,FAILURE,250,135.0,0,6.977010699920356
250,0.0,94,0,FAILURE,250,135.0,0,6.697646699962206
250,0.0,92,0,FAILURE,250,135.0,0,6.8577464000554755
250,0.0,93,0,FAILURE,250,135.0,0,6.908745500026271
250,0.0,95,0,FAILURE,250,135.0,0,6.922554500051774
250,0.0,96,0,FAILURE,250,135.0,0,6.9035621000221
250,0.0,97,0,FAILURE,250,135.0,0,6.616979400045238
250,0.0,98,0,FAILURE,250,135.0,0,6.42671699996572
250,0.0,99,0,FAILURE,250,135.0,0,3.495902800001204
250,0.05,4,12,SUCCESS,20124,3000.0,1341,6.434392900089733
250,0.05,10,12,SUCCESS,26628,3000.0,1787,6.571594299981371
250,0.05,0,12,FAILURE,251,46.0,0,6.752725500031374
250,0.05,9,12,SUCCESS,15536,3000.0,1028,6.777204899932258
250,0.05,1,12,SUCCESS,18907,3000.0,1299,6.911766799981706
250,0.05,8,12,SUCCESS,20944,3000.0,1435,6.89994969998952
250,0.05,3,12,SUCCESS,23316,3000.0,1576,7.1582360999891534
250,0.05,2,12,FAILURE,250,63.0,0,7.195994999958202
250,0.05,5,12,SUCCESS,22897,3000.0,1571,7.277898299973458
250,0.05,6,12,SUCCESS,23137,3000.0,1586,7.305587199982256
250,0.05,7,12,SUCCESS,25601,3000.0,1730,7.385841999901459
250,0.05,12,12,SUCCESS,23151,3000.0,1572,6.679767600027844
250,0.05,13,12,SUCCESS,19486,3000.0,1311,6.8978415000019595
