p,success_count,failure_count,probability_success,probability_failure
0.0,0,50,0.0,1.0
0.02,15,35,0.3,0.7
0.04,14,36,0.28,0.72
0.06,12,38,0.24,0.76
0.08,8,42,0.16,0.84
0.1,7,43,0.14,0.86
0.12,4,46,0.08,0.92
0.14,5,45,0.1,0.9
0.16,3,47,0.06,0.94
0.18,2,48,0.04,0.96
0.2,2,48,0.04,0.96
0.22,2,48,0.04,0.96
0.24,2,48,0.04,0.96
0.26,0,50,0.0,1.0
0.28,0,50,0.0,1.0
0.3,0,50,0.0,1.0
