feature,success_mean,failure_mean,difference_success_minus_failure
mean_delta_d,-15.233333333333333,3.5142857142857142,-18.747619047619047
min_delta_d,-30.533333333333335,-6.771428571428571,-23.761904761904763
max_delta_d,0.06666666666666667,13.8,-13.733333333333334
std_delta_d,15.3,10.285714285714286,5.014285714285714
toward_count,1.5333333333333334,0.9142857142857143,0.6190476190476192
away_count,0.4666666666666667,1.0571428571428572,-0.5904761904761905
neutral_count,0.0,0.02857142857142857,-0.02857142857142857
toward_fraction,0.7666666666666667,0.45714285714285713,0.3095238095238096
away_fraction,0.23333333333333334,0.5285714285714286,-0.29523809523809524
strongest_return,30.533333333333335,6.771428571428571,23.761904761904763
net_orientation,0.5333333333333333,-0.07142857142857142,0.6047619047619047
