current_index,N,I_ext,g_syn,p,realization,seed,number_of_shortcuts,total_spikes,mean_firing_rate,runtime_seconds
0,250,0.5,0.4,0.0,0,0,0,1,2.0100502512562813e-06,4.526589900022373
0,250,0.5,0.4,0.0,1,1,0,1,2.0100502512562813e-06,4.490892100031488
0,250,0.5,0.4,0.0,2,2,0,1,2.0100502512562813e-06,4.415615499950945
0,250,0.5,0.4,0.2,0,20000,50,1,2.0100502512562813e-06,4.482020299998112
0,250,0.5,0.4,0.2,1,20001,50,1,2.0100502512562813e-06,4.627207200042903
0,250,0.5,0.4,0.2,2,20002,50,1,2.0100502512562813e-06,4.40241199999582
0,250,0.5,0.4,0.4,0,40000,100,1,2.0100502512562813e-06,4.51191929995548
0,250,0.5,0.4,0.4,1,40001,100,1,2.0100502512562813e-06,4.561405600048602
0,250,0.5,0.4,0.4,2,40002,100,1,2.0100502512562813e-06,4.740333099965937
0,250,0.5,0.4,0.6000000000000001,0,60000,150,1,2.0100502512562813e-06,4.584226400009356
0,250,0.5,0.4,0.6000000000000001,1,60001,150,1,2.0100502512562813e-06,4.858701699995436
0,250,0.5,0.4,0.6000000000000001,2,60002,150,1,2.0100502512562813e-06,4.379118200042285
0,250,0.5,0.4,0.8,0,80000,200,1,2.0100502512562813e-06,4.366592000005767
0,250,0.5,0.4,0.8,1,80001,200,1,2.0100502512562813e-06,4.818736599991098
0,250,0.5,0.4,0.8,2,80002,200,1,2.0100502512562813e-06,5.114968099980615
0,250,0.5,0.4,1.0,0,100000,250,1,2.0100502512562813e-06,4.596564000006765
0,250,0.5,0.4,1.0,1,100001,250,1,2.0100502512562813e-06,4.823332200059667
0,250,0.5,0.4,1.0,2,100002,250,1,2.0100502512562813e-06,4.751924599986523
1,250,0.75,0.4,0.0,0,1000000,0,250,0.0005025125628140704,4.827901900047436
1,250,0.75,0.4,0.0,1,1000001,0,250,0.0005025125628140704,4.486176899983548
1,250,0.75,0.4,0.0,2,1000002,0,250,0.0005025125628140704,5.148709300090559
1,250,0.75,0.4,0.2,0,1020000,50,55146,0.1108462311557789,5.1232553999871016
1,250,0.75,0.4,0.2,1,1020001,50,53917,0.10837587939698493,4.666566999978386
1,250,0.75,0.4,0.2,2,1020002,50,53857,0.10825527638190954,4.631647199974395
1,250,0.75,0.4,0.4,0,1040000,100,66654,0.13397788944723618,4.633780800038949
1,250,0.75,0.4,0.4,1,1040001,100,63949,0.12854070351758795,4.721762299886905
1,250,0.75,0.4,0.4,2,1040002,100,75269,0.15129447236180904,4.677772999973968
