p,mean_clustering,std_clustering,mean_firing_rate,std_firing_rate
0.0,0.0,0.0,0.0005025125628140704,0.0
0.01,0.0,0.0,0.02293685092127303,0.007730892193469726
0.02,0.0,0.0,0.021565159128978228,0.005593249310632953
0.03,0.0,0.0,0.02317822445561139,0.003596510614065987
0.05,0.0005555555555555556,0.0009622504486493762,0.02968241206030151,0.0057966555987832985
0.075,0.0005555555555555556,0.0009622504486493762,0.032256951423785596,0.003631926132990932
0.1,0.0,0.0,0.024682914572864322,0.020986453211621434
0.15,0.0008111111111111111,0.0008342217486531539,0.022408375209380233,0.018973920121843953
0.2,0.0011111111111111111,0.0009622504486493762,0.010401005025125629,0.017143386313696867
0.3,0.0022333333333333333,0.0013593299002735786,0.0005045226130653266,1.8118348117909697e-06
0.4,0.0002222222222222222,0.00038490017945975053,0.0005060301507537688,3.517587939698442e-06
0.5,0.0008222222222222221,0.0002873892701417236,0.0005068676716917923,2.944454913106644e-06
0.6,0.0010873015873015873,0.0010088534761583392,0.000507035175879397,1.5075376884422028e-06
0.7,0.0022198412698412697,0.0006576616884443458,0.0005175879396984924,1.8118348117909697e-06
0.8,0.003176190476190476,0.0008655084853839413,0.0005154103852596315,2.9012576341187065e-06
0.9,0.001908730158730159,0.001300118460792603,0.0005184254606365159,4.669132283003784e-06
1.0,0.0036537037037037037,0.0007878447680329158,0.0005241206030150754,5.025125628140676e-07
